input,output,meaning,pos,num_cognates
[lav] diêt [grc] δίω [grc] δίεμαι [grc] δῑνέω [grc] δῑνεύω [sqi] ndih [sqi] ndif [san] दीयन्ति [san] दीयते [gle] dian [gla] dian [lav] daina [lit] daina [ron] doină,*deyh₁-,to chase (away),root,16
[lit] -us [grc] -ώς [san] -वांस् [ave] -𐬎𐬱 [txb] -u,*-wṓs,Forms perfect participles from verbs.,suffix,5
[grc] γέμω [lat] gemō [grc] γέντο [xto] kāmat [txb] kamāte [grc] γόμος,*gem-,"to press (together), to grasp",root,6
[grc] γῆρυς [gle] gairm [gla] gairm [lat] garrio [mid] zryg,*ǵeh₂r-,"to shout, call",root,5
[lit] vi̇̀lkė [lit] vil̃kė [lit] vilkijà [san] वृकी,*wl̥kʷíh₂s,she-wolf,noun,4
[bre] kuzhat [cym] cuddio [grc] κεύθω [grc] κύστις [goh] hutta [san] स्कुनाति [bre] kil [cym] cil [gle] cúl [gla] cùl [lat] cūlus [grc] σκύλος [cym] cwd [lat] cutis [xto] kāc [xto] kāts [txb] kātso [non] há [eng] scale [isl] skáli [swe] skål [swe] skåla [lat] scūtum [grc] σκῦτος [grc] κύτος [hye] սուզել [lit] kiáutas [prg] keuta [lit] kutỹs [lit] kẽvalas [eng] shun [eng] shunt [san] कुहू [san] कुहरम् [lat] custōs,*(s)kewH-,"to cover, conceal, hide, hide, skin",root,71
[grc] -ᾱ́ [grc] -ή,*-éh₂,Creates action nouns and abstract nouns.,suffix,2
[hye] երկար [grc] δηρός [lat] dūrō,*dweh₂rós,"long, far away",adj,3
[sqi] shterrë [grc] στεῖρα [lat] sterilis,*steríh₂s,"sterile cow, heifer, barren woman",noun,3
[txb] ewe [hit] 𒌑𒉡𒊻𒍣 [ave] 𐬀𐬊𐬚𐬭𐬀 [xcl] ագանիմ,*h₃ew-,to put clothes or shoes on,root,4
[lat] corylus [lat] corulus [lat] corilus,*kóslos,hazel,noun,6
[lav] pati [lit] pati̇̀,*pótnih₂,"mistress, wife",noun,2
[lit] žióti [lat] hiō [hit] kīnuzi ~ kinuu̯anzi [grc] χαίνω [grc] χάσκω [eng] gain [goh] gingēn [got] 𐌲𐌰𐌲𐌴𐌹𐌲𐌰𐌽 [xto] koy- [txb] koyn [grc] χάος [txb] kāyā,*ǵʰeh₂-,"to yawn, gape",root,12
[lat] scabō [lit] skàbti [goh] scaba [ang] sċeafa [grc] σκάμμα [grc] σκαπτήρ [lat] scobis [grc] περίσκαψις [lit] skàpti [lat] scabies [isl] skaf [grc] σκάφος [lit] skabùs [grc] σκάφη [lat] scaber [lit] skabrùs [lav] skabrs [non] auðskæfr [grc] σκάπτω,*skabʰ-,"to scratch, scrape",root,19
[san] त्वरयति [san] त्वरा [lat] amptruō [lat] trua [grc] ὀτρύνω [non] þyrja [grc] τύρβη [grc] σύρβη [lat] turba [lat] turma,*(s)twerH-,"to stir up, agitate, to urge on, propel",root,11
[grc] Σκουάνες [lav] skuja [lit] skujà [sqi] hu [sqi] hû [sqi] hundë,*skwey-,"thorn, needle, prickle, thorny, prickly plant",root,8
[san] गुवति [cym] budr [sga] búaidre [rus] гаведь [rus] гаведный [san] गून [xcl] կու [xcl] կոյ,*gʷewH-,to defecate,root,8
[hit] 𒋻𒄴𒈪 [txb] tär-,*térh₂t,"to get through, cross over",verb,2
[hit] 𒋻𒄴𒍣,*térh₂uti,"to overcome, be able",verb,1
[grc] τεταγών [lat] tetigī [txb] täk- [txb] tetekor [got] 𐍄𐌰𐌹𐍄𐍉𐌺 [non] taka [old] thakolōn [lat] tangō [lat] taxō [lat] con-tāmin-ō [lat] tālus [cym] teimlo [xcl] թակարդ [xcl] թաթ,*teh₂g-,"to touch, to grasp, take with the hand",root,16
[grc] τάξω [old] ham-ataxšatā [grc] ταγή [grc] τάγμα [grc] τᾱγός [xto] tāśśi [txb] tāś,*teh₂g-,"to order, arrange; to establish, to command, rule",root,7
[grc] ἐχῖνος [gmy] 𐀁𐀑𐀜 [hye] ոզնի [hye] կոզնի [sqi] esh [sqi] es [sqi] eshk,*h₁eǵʰ-,hedgehog,root,9
[sqi] tatë [lyc] 𐊗𐊁𐊅𐊆 [hye] տատ [hye] տատի [hye] տատա [lav] tẽtis [lav] tẽte [lit] tė̃tis [lit] tė̃tė [lit] tėtýtis [lit] tẽtē [prg] thetis [sga] data [deu] Tate [mid] teyte [isl] táta [grc] τατᾶ [grc] τέττα [san] तात [pus] دادا [lat] tata,*tata-,"dad, father",noun,34
[lav] sàime [lit] šeimà [lit] šeimė [lit] šei̇̃mas [lav] cìems [lit] kiẽmas [prg] caymis [pol] kimać [ell] εκοιμήθη,*ḱóymos,"village, home",noun,10
[lav] kamene [lav] kamine [lit] kamãnė [lit] kamana [lit] kami̇̀nė [prg] camus [lit] kimùs [lit] ki̇̀mti [grc] κηφήν,*kemH-,to hum,root,9
[lat] careō [lat] castus [goh] sūl [lat] cassus [sqi] thadër [hin] शस्त्र [lat] castrum [lat] castrō,*ḱes-,to cut,root,9
[sga] dlicht [sga] dlecht,*dʰlegʰ-,"to owe, be indebted to",root,2
[grc] κρούω,*krows-,"to push, bump, strike, break",root,1
[grc] ληκάω [lav] lȩ̃kât [lav] lḕkt [lit] lė̃kti [mid] lecken [lat] locusta [nor] lakka [sqi] flak [sga] lachu,*lek-,"to jump, scuttle along",root,9
[san] गुद [deu] Kugel [rus] гугля [lit] gugà [eng] kile [deu] Keule [sqi] gop [grc] γῡ́πη [san] गुप्त [lav] gauri [lit] gaurai̇̃ [nor] kaure [lat] gunna [xcl] կուռն [lit] gur̃nas [lav] gurns [xcl] կոր [eng] gut [ell] γύρος [lat] gȳrus,*gew-,"to bend, curve, arch, vault",root,23
[san] बाध् [san] बाधति [ave] 𐬀𐬎𐬎𐬌-𐬠𐬁𐬜𐬀 [fas] bastah [san] बाधते [lav] bēda [lav] bę̀da [lit] bėdà [dan] bad [nor] bad [eng] bad [lav] bads [lit] bãdas [san] बाध [ang] cnēow-ġebed [old] kneo-beda [non] kné-beðr [san] ज्ञु-बाध [sqi] bashkr [lit] bodùs [lit] bodė́ti [xto] poto [txb] peti,*bʰedʰ-,"to bend, fold, to press (together), bind; to press down on, oppress, to press (together), bind; to press down on, oppress, to push to limits; to cause trouble, distress, to press (together), bind; to press down on, oppress, to push to limits; to cause trouble, distress, hardship, suffering, to bow down, obey",root,24
[xcl] լուծի [san] रुजति [lit] lū́žti [lav] lauzt [grc] λυγρός [grc] λύγξ [grc] λευγαλέος [lat] lūgeō [xcl] լուծանեմ [txb] lakle,*lewǵ-,"break (off), shatter",root,10
[lit] dir̃žas [lav] dir̂ža [lit] dir̃žnas [prg] dīrstlan [lit] dir̃žti [ave] 𐬛𐬀𐬭𐬆𐬰𐬀𐬌𐬌𐬈𐬌𐬙𐬌,*dʰerǵʰ-,"to bind fast, to be firm, to support, strong, robust",root,6
[lat] tueor [xlu] *tāwa/i,*tewH-,"to look on favorably, to protect, to observe",root,2
[lav] sìrgt [lit] sir̃gti [xto] särk [san] सूर्क्षति,*swergʰ-,"to be ill, to take care of",root,4
[san] कालयति [san] कलयति [lit] kelti [grc] κέλομαι [grc] κέλλω [lat] celer [txb] käl-,*kel-,"to drive, particularly of animals",root,9
[ell] έλκος [lat] ulcus,*h₁élḱos,"sore, ulcer",noun,2
[san] जस्यति [grc] σβέννυμι [san] दसत् [san] जासयति [lav] dzēst [lit] gesýti [lav] dzist [lit] gesti [gle] bás [gla] bàs,*(s)gʷes-,to be extinguished,root,11
[lav] iẽva [lit] ievà [lit] jievà [lit] i̇́eva [prg] iuwis [grc] ὄᾱ [grc] ὄη [grc] οἴη [lat] ūva [hye] այգի [hit] 𒄑𒂊𒅀𒀭,*h₁eyHw-,"yew, willow, grapes, vine",root,11
[san] शर्करा [grc] κροκόδειλος [san] कृकलास,*ḱorkeh₂,"pebble, gravel, small stone",noun,4
[grc] ἰός,*wisós,"poison, slime",noun,1
[san] क्वथन्त् [san] क्वथते [san] क्वाथयति [got] 𐍈𐌰𐌸𐌾𐌰𐌽 [grc] ποταμός [grc] Τηθῡ́ς [grc] τήθεα [lat] cāseus,*kweth₂-,"to bubble, to foam, to ferment, become sour",root,8
[eng] chawe [eng] chaw [eng] jaw [mid] kauwe [mid] kouwe [deu] Käu [deu] Keu [lat] gingīva [fas] جویدن [pus] ژول [txb] śuwaṃ,*ǵyewh₁-,to chew,root,13
[san] चम॑ति [isl] hvoma [san] आचा॑मति [ave] 𐬀𐬱𐬀𐬨𐬁𐬝 [grc] ἄκμα [xcl] քիմք [san] चम्,*kʷem-,to swallow,root,7
[lit] kaukti [txb] kauk- [san] कौक [san] कोकिल [xcl] քուք [xcl] քոք [xcl] քուքամ [san] कौति [grc] κωκῡ́ω [san] चोकूयते [san] कोकूयते [lit] kávas,*kew(H)-,"to cry out, call, howl, shriek, to wail (in lament), Derives some names of noisy birds.",root,27
[grc] ἀλφή [san] अर्ह्,*h₂elgʷʰ-,"to cost, have value, be worth",root,2
[san] राम,*(H)reh₁mós,"dark, dirty",adj,1
[lat] crusta [lav] kruvesis [pol] kryha [rus] кри́га [rus] кры́га [ang] hruse [goh] hrosa [non] hroðr [grc] κρύος [ave] 𐬑𐬭𐬎𐬰𐬛𐬭𐬀- [san] क्रुड् [xto] kᵤraś [txb] krośce,*krews-,"to freeze, become hard",root,13
[san] अर्चति [san] अर्च् [san] ऋच्,*h₁erkʷ-,"to praise, to shine, to sound bright",root,3
[san] शास्त्र [sqi] them [xcl] սաստ,*ḱeh₁s-,"to teach, to indicate",root,3
[san] स्तायु [ave] 𐬙𐬁𐬌𐬌𐬎 [txb] *stāyä [sga] táid [grc] τητάω [hit] tāyezzi,*(s)teh₂y-,to steal,root,6
[sqi] pres [lav] prast [lit] pràsti [prg] prestun [got] 𐍆𐍂𐌰𐌸𐌾𐌰𐌽 [lat] interpres [xto] pratim [txb] *prete,*pret-,to understand,root,8
[xto] arkant [txb] erkent,*h₁regʷ-,to be dark,root,2
[hit] 𒄢𒀸𒍣 [hit] 𒄢𒊭𒀭𒍣 [hit] gulzi- [ave] 𐬐𐬀𐬭𐬱𐬀𐬌𐬙𐬌 [fas] کشیدن [san] कर्षति [grc] τέλσον [xlu] gulzā(i)- [san] कृष्,*kʷels-,"to pull, drag, to turn",root,9
[grc] φθείρω [ave] 𐬖𐬲𐬀𐬭𐬀𐬌𐬙𐬌 [san] क्षर् [hin] झड़ना [hin] झाड़ना [hin] झड़कना,*dʰgʷʰer-,to flow (away),root,6
[grc] χρεμετίζω [ave] 𐬔𐬭𐬀𐬨𐬆𐬧𐬙𐬄𐬨 [lit] gramė́ti [fas] غرمیدن [lit] grumė́ti [ave] 𐬔𐬭𐬀𐬧𐬙𐬀 [grc] χάρμη,*gʰrem-,"to roar, rumble, to thunder, to be angry",root,7
[grc] χρόμος [pus] غړوم [fas] غرم,*gʰrómos,"a roar, rumble, thunder",noun,3
[xto] ekär [txb] aikare [sga] aingid [isl] ekla [lat] egeo [xto] yäk- [txb] yäk-,*h₁eg-,to lack,root,7
[ave] 𐬀𐬥𐬎 [old] 𐎠𐎵𐎺 [san] अनु [lat] in- [got] 𐌹𐌽𐌿,*énu,"along, after",adv,5
[lit] nõvyti [ces] naviti [txb] onuwaññe [xto] nwām,*neh₂w-,"to die, perish, to lack, death",root,4
[grc] πῖαρ,*péyh₂wr̥,"fat, swelling",noun,1
[lit] piẽtūs [sga] íath,*péyh₂tu,"something fattening, nourishing",noun,2
[txb] pitke,*pī́ts,"pitch, resin, pine tree",noun,1
[lit] aulas [lav] aũle [prg] aulis [lat] alvus [lat] alveus [grc] αὐλών,*h₂ewlós,"something hollow, hollowed out",noun,6
[lit] gei̇̃sti [lav] gàidît [prg] gēide [prg] giēidi,*gʰeydʰ-,to yearn for,root,8
[grc] χαῖος [san] हेषस्,*ǵʰoysós,"spear, missile, javelin",noun,2
[grc] φόρος [san] भर,*bʰóros,"load, what is borne, burden",noun,2
[ang] hlosnian [eng] listen [mid] lüsenen [san] श्रोषति,*ḱléwseti,to be listening,verb,7
[lav] klusêt [lav] klausīt [lit] klausýti [prg] klausiton [xcl] լսեմ [lit] klùsti [hye] լուռ [san] श्रुष्टि,*ḱlews-,to hear,root,8
[lit] stiga [non] stig [goh] steg [non] stígr [non] stigr [grc] στίχος,*stéyks,path,noun,6
[san] मारयति,*moréyeti,to kill,verb,1
[lav] dzȩguze [lav] dzȩgûze [lav] dzȩguôze [lav] dzȩguse [lav] dzȩgusis [lit] gegė̃ [lit] gẽgė [prg] geguse,*gʰegʰuǵʰ-,cuckoo,root,64
[lit] regzti [san] रज्जु [lav] razga [lit] razgai,*(H)resg-,"to weave, knit",root,4
[goh] tenar [grc] θέναρ [san] धनुस् [ave] 𐬚𐬀𐬥𐬎𐬎𐬀𐬥 [ave] 𐬚𐬀𐬥𐬎𐬎𐬀𐬭𐬆 [old] 𐎰𐎵𐎢𐎺𐎴𐎡𐎹 [lat] femur,*dʰénwr̥,"arc, bow, palm (of hand), sole (of foot)",noun,8
[cel] leux [san] रुच् [fas] رخش,*léwks,light,noun,3
[mid] gebel [deu] Giebel [isl] gafl [swe] gavel [dan] gavl [eng] gable [fra] gâble [got] 𐌲𐌹𐌱𐌻𐌰 [grc] κεφαλή [xto] śpāl [txb] śpāl [lat] Cībalae [grc] γαβαλάν,*gʰébʰōl,"head, top",noun,23
[lat] tonō [san] स्तन् [san] स्तनिहि [san] तन्यति [san] स्तनयति [lat] tonitrus,*(s)tenh₂-,to thunder,root,7
[lit] skirbis [lav] šķirba [lat] scrobis,*(s)kerbʰ-,to be sharp,root,3
[lat] nūbō [lat] nūpsī [grc] νύμφη,*snewbʰ-,to marry (of a woman),root,3
[lav] tàlka [lit] talkà [lit] tel̃kti [prg] tlāku,*telk-,"to thrust, strike",root,4
[san] हदति [grc] χέζω [sqi] dhjes [grc] ἔχεσα [grc] κέχοδα [sqi] ndot [xcl] ձետ [ave] 𐬰𐬀𐬛𐬀𐬵,*ǵʰed-,to defecate,root,8
[xto] lyäm [txb] lyama [lav] lemt [lat] lanius [lav] lamāt [lav] ļimt [lav] aplams [lav] lama [grc] νωλεμέως [lav] palama,*h₃lemH-,"to break, weak, broken, soft",root,10
[grc] ἦρι [grc] αὔριον,*h₂ewsér,"in the direction of dawn, east, at dawn, in the morning",adv,2
[sqi] lind [sqi] lindem [sqi] le [sqi] lë [sqi] lej [lit] láidyti [lit] láiškas [lav] laiska [prg] lāiskas [gle] laoi [gla] laoidh,*leyd-,"to let, allow, to let go, release",root,13
[lat] lūdō [grc] λίζω [grc] λίνδεσθαι [lat] lūdus [lat] lūsus,*leyd-,"to play, contend",root,6
[mid] ʾwšstl [lat] auster,*h₂éwsteros,"in the direction of dawn, east",adj,2
[grc] πύργος [ave] 𐬠𐬆𐬭𐬆𐬰𐬆𐬨 [ave] 𐬠𐬆𐬭𐬆𐬰𐬋,*bʰérǵʰs,"something high up, fortified",noun,3
[gle] lia [grc] πλεῖος [grc] πλέος [grc] πλέως [san] प्रायस् [lat] plūs [lat] plūres,*pléh₁yōs,full,adj,7
[sqi] plotë [xcl] լի [san] प्रात [lat] plētus,*pleh₁tós,"filled, full",adj,4
[sga] do·lin [lat] polleō,*pl̥néh₁ti,to be filling,verb,2
[sqi] as,*h₂óyu kʷíd,"ever, (not) on your life",prep_phrase,1
[sqi] fjalë [sqi] flas [xcl] առասպել [grc] ἀπειλή,*(s)pel-,"to say aloud, recite, to publicly speak, to tell",root,4
[sqi] mjekër [hit] 𒍝𒈠𒀭𒆳 [xcl] մաւրու-ք [ang] smǣras [san] श्मश्रु,*smóḱwr̥,beard; chin,noun,5
[sga] smech [lat] māla [lat] maxilla,*smeḱ-,beard; chin,root,5
[hit] 𒂊𒅁𒍣 [lat] apīscor [san] आप [lat] coēpī [san] आपयति [ave] 𐬀𐬞𐬀𐬌𐬌𐬈𐬌𐬙𐬌 [hit] 𒉺𒀀𒄿 [xcl] ունիմ [san] आप्,*h₁ep-,"to grab, snatch, get",root,9
[san] विजते [san] विविजे [san] वेजयति [san] वेग [ave] 𐬬𐬀𐬉𐬖𐬀 [grc] οἴγω,*weyg-,"to bend, wind, turn, alternative form of *weyk-",root,6
[san] मार्ष्टि [san] मृजन्ति [ave] 𐬨𐬀𐬭𐬆𐬰𐬀𐬌𐬙𐬌 [grc] ὀμόργνῡμῐ [grc] ὀμόρξαι [san] अमार्क्षीत् [san] मर्जयति [san] मृक्षति [san] मृष्ट [lit] márška [lat] mergae [san] मृश् [san] मृज्,*h₃merǵ-,"to wipe off, wipe clean",root,16
[hit] 𒄀𒈠𒀭 [hit] 𒄀𒅎𒈪 [sqi] dimër [sqi] dimën [grc] χεῖμα [grc] χειμών [san] हेमन्त,*ǵʰéymn̥,winter,noun,11
[lat] mannus [lat] Viromanduī [grc] Οὐιῥομάνδυες [ron] mînz [ron] mânz,*mend-,"foal, small horse",root,5
[grc] φίλος [sga] bil,*bʰil-,"harmonious, friendly",root,2
[grc] τρίς [san] त्रिस् [lat] ter,*trís,thrice,adv,3
[san] अवर्क् [lat] vergō [grc] ἐέργω [san] वृणक्ति [grc] εἶρξαι [xto] wärkṣantāñ [lat] vermina [hit] ḫurki- [san] वरीवृजत् [san] प्र वावृजे [san] वृज्,*h₂werg-,"to turn, turn around",root,11
[lav] šũt [lit] siū́ti [lat] suō [san] सीव्यति [san] स्यूमन् [san] स्यूम [grc] ῠ̔μήν [grc] Ῡ̔μήν [san] स्यूत [lat] sūtus [san] सूत्र [san] स्यू [lat] sūbula [san] सूना [san] सूचि [san] सूची [san] सूक्ष्म [fas] سوزن [fas] *ḱeh₃- [grc] κασσύω,*syewh₁-,to sew,root,25
[grc] ἐπιόψομαι [lat] optō [xto] opyāc [txb] epyac [txb] epiyac,*h₁op-,to desire,root,5
[lat] langueō [grc] λαγγάζω [san] लङ्ग [grc] λήγω [san] लगति [lat] laxus [san] लक्ष [grc] λᾰ́γνος [san] लग्न [grc] λαγαρός [grc] λᾰγών [grc] λωγᾰ́νῐον [sga] lac [xto] slākkär,*(s)leg-,"to tire out, slacken",root,14
[san] स्खलति [xcl] սխալեմ [grc] σφᾰ́λλω [lat] fallō [fas] سکرفیدن [cym] sâl,*(s)gʷʰh₂el-,"to stumble, misstep",root,6
[pol] -nia,*-nih₂,Feminizes athematic nominal stems.,suffix,2
[lat] lutum [lat] lustrum [lat] polluō [lat] luēs [grc] λῦμα [grc] λῡ́μη [grc] λύθρον [sqi] lym [sqi] llom,*lew-,dirt,root,9
[lit] spreñgti [sga] lingid,*(s)prengʰ-,to spring,root,2
[mid] di- [mid] oddi [gle] de [gla] de [grc] δή [lat] dē [lat] dē- [xcl] տ-,*déh₁,toward,adv,10
[grc] ἕρπω [san] सर्पति [lat] serpō,*sérpeti,"to be creeping, to be crawling",verb,3
[san] चेतति [san] चितयन्ति [san] चिकेत [ave] 𐬗𐬌𐬐𐬋𐬌𐬙𐬆𐬭𐬆𐬱 [san] केतु [grc] κισσός,*keyt-,"to shine, glow",root,8
[lit] kai̇̃sti [lit] kai̇̃sta [lit] kai̇̃to [lav] kàist [lav] kàistu [lav] kàitu [lit] kaitrà [lit] kaitrùs,*keHy-,"to heat, to become hot",root,8
[sqi] dhemb [lit] žembti [san] जम्भयति [xcl] ծամեմ,*ǵembʰ-,"to bite, to chomp, to crunch",root,4
[hit] 𒋼𒊑𒅁𒍣 [grc] ἔτραπον [grc] τρέπω [san] त्रपते [grc] τροπέω,*trep-,to turn,root,5
[xcl] յառնեմ [hit] 𒀀𒊏𒀀𒄿 [hit] 𒀀𒊏𒄿 [hit] 𒀀𒊏𒀀𒄑𒍣 [hit] 𒀀𒊏𒄑𒍣 [hit] 𒀀𒊑𒅀𒀭𒍣 [xlu] 𒀀𒊑𒀉𒋾,*h₁rey-,"to rise, arise",root,7
[ell] ωρύομαι [lav] rûkt [lit] rū́kti [mid] ruohen [lit] riaumóti [lit] riáumoti [lat] rūmor [lat] rāvis [san] रव,*h₃rewH-,"to roar, to howl, to shout",root,13
[sqi] bē [ang] bād,*bʰoydʰéh₂,"pledge, oath, swear, contract",noun,2
[sqi] barrë [xcl] -(ա)ւոր [non] barar [grc] φορᾱ́ [grc] φορή,*bʰoréh₂,"an act of carrying or bearing, that which is borne: load, burden, that which bears weight or carries",noun,5
[ave] 𐬔𐬏𐬥𐬀𐬊𐬙𐬌,*g⁽ʷ⁾ew-,to increase,root,1
[grc] ὠκύς [san] आशु [ave] 𐬁𐬯𐬎 [lat] ōcior [lat] ōcissimus,*HéHḱus,"swift, quick",adj,5
[lit] liūdė́ti [sqi] lut [lit] liū̃dnas,*lewd-,"to crouch, duck, bend",root,3
[lit] judėti [lit] judinti [lit] jundù [san] योधयति,*Hyowdʰéyeti,"to cause to move, become agitated",verb,4
[grc] φόνος [san] घन,*gʷʰónos,"killing, slaughter",noun,2
[hit] -āiš [grc] -ώ,*-ṓy,Forms nouns from verb and noun stems.,suffix,2
[grc] νάρκη [xcl] ներգև,*(s)nerk-,"to loop, wind, to contract, shorten",root,2
[lit] kùsti [lat] quatiō [grc] πάσσω [gle] cáith [gla] càth,*(s)kweh₁t-,"to churn, stir, shake",root,5
[san] अग्रभीत् [ave] 𐬔𐬭𐬀𐬠𐬆𐬨 [hit] kar(ap)p- [san] जग्रभ [ave] 𐬘𐬁𐬔𐬆𐬭𐬆𐬠𐬎𐬱 [hit] 𒋼𒀀𒁉𒄿𒄑𒍣 [hit] 𒋼𒀀𒀊𒁉𒄑𒍣 [lav] grebt,*gʰrebh₂-,"to seize, grab, to dig, rake",root,8
[san] श्वसति [lat] queror [txb] kwäsnātär [eng] hissen [mid] hussen [mid] hissen [san] श्वासयति [san] शुष्णस् [san] श्वास [xcl] շունչ [xcl] շշունջ [xcl] շշուկ [lit] švañkšti,*ḱwes-,"to puff, sigh",root,14
[lav] kraut [lit] kráuti,*krewH-,"to pile, stack, place on top, cover",root,2
[fas] خوال [lat] sordeō [sqi] Vardar [grc] Βαρδάριος [lat] sordēs,*swerd-,"dirty, dark, black",root,5
[grc] εὑρίσκω [gle] fuair [gla] fhuair [cel] tioinuoru [xcl] գերի,*wreh₁-,"to find, encounter",root,7
[eng] Ogham [grc] ὄγμος [san] अज्म,*h₂óǵmos,"path, way, trajectory, furrow",noun,3
[grc] ἄγος [san] आगस्,*h₂eg-,"to sin, violate, commit a crime",root,2
[ell] ρίγος [lat] frigus,*sríHgos,"cold, frost",noun,2
[gle] geall [gla] geall,*gʰeldʰ-,"to repay, pay",root,2
[san] मोदति [san] मोदते [lit] mudrùs [lav] mudrs [san] मुद्र [san] मोद [san] मुद्,*mewd-,to rejoice,root,7
[san] मृष्ठास् [san] मृष्य॑ते [san] म॒मर्ष॑ [san] मर्षयति [lit] miršti [hye] մոռանալ [san] मृष् [txb] märs-,*mers-,to forget,root,8
